cf_id,contact_id,company_name,description,goal,pledged,outcome,currency,launch_date,end_date
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100.0,0.0,failed,CAD,1970-01-01 00:00:01.581573600,1970-01-01 00:00:01.614578400
1175,2288,Werner-Bryant,Virtual uniform frame,1800.0,7991.0,successful,USD,1970-01-01 00:00:01.592629200,1970-01-01 00:00:01.611986400
873,2067,Stewart LLC,Cloned bi-directional architecture,1300.0,12047.0,successful,USD,1970-01-01 00:00:01.606629600,1970-01-01 00:00:01.623387600
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,142400.0,21307.0,failed,USD,1970-01-01 00:00:01.588654800,1970-01-01 00:00:01.622350800
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300.0,12437.0,successful,USD,1970-01-01 00:00:01.611900000,1970-01-01 00:00:01.613196000
990,3489,Morgan-Martinez,Mandatory tertiary implementation,148500.0,4756.0,canceled,AUD,1970-01-01 00:00:01.616475600,1970-01-01 00:00:01.638770400
2228,4404,Alexander-Williams,Triple-buffered cohesive structure,7200.0,6927.0,failed,USD,1970-01-01 00:00:01.618635600,1970-01-01 00:00:01.625720400
509,1867,Mcknight-Freeman,Upgradable scalable methodology,8300.0,6543.0,canceled,USD,1970-01-01 00:00:01.597294800,1970-01-01 00:00:01.619067600
966,4840,Huff LLC,Face-to-face clear-thinking Local Area Network,121500.0,119830.0,failed,USD,1970-01-01 00:00:01.618030800,1970-01-01 00:00:01.633064400
2765,5565,Ho-Harris,Versatile cohesive encoding,7300.0,717.0,failed,USD,1970-01-01 00:00:01.606802400,1970-01-01 00:00:01.632805200
524,5472,Ramsey and Sons,Grass-roots contextually-based algorithm,3800.0,1954.0,failed,USD,1970-01-01 00:00:01.637647200,1970-01-01 00:00:01.644040800
2991,4136,Martin-Marshall,Configurable demand-driven matrix,9600.0,6401.0,failed,EUR,1970-01-01 00:00:01.608357600,1970-01-01 00:00:01.633496400
2049,1340,Rose-Silva,Intuitive static portal,3300.0,14643.0,successful,USD,1970-01-01 00:00:01.611986400,1970-01-01 00:00:01.624597200
553,4593,Hensley Ltd,Versatile cohesive open system,199000.0,142823.0,failed,USD,1970-01-01 00:00:01.627362000,1970-01-01 00:00:01.637474400
1559,4272,Baker Ltd,Progressive intangible flexibility,6300.0,14199.0,successful,USD,1970-01-01 00:00:01.618722000,1970-01-01 00:00:01.640152800
2201,3033,Davis and Sons,Innovative human-resource migration,188200.0,159405.0,failed,USD,1970-01-01 00:00:01.619845200,1970-01-01 00:00:01.630126800
1003,5799,Jones-Riddle,Self-enabling real-time definition,147800.0,15723.0,failed,USD,1970-01-01 00:00:01.603083600,1970-01-01 00:00:01.626757200
343,6074,Perry and Sons,Configurable static help-desk,3100.0,9889.0,successful,GBP,1970-01-01 00:00:01.614837600,1970-01-01 00:00:01.641016800
3153,2653,Long-Greene,Future-proofed heuristic encryption,2400.0,12310.0,successful,GBP,1970-01-01 00:00:01.595826000,1970-01-01 00:00:01.629522000
